second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
34,93,1.0,129.2344920002506,171.1788360007631,186.93367100058822,qwen7b-npu4=27;qwen7b-npu5=24;qwen7b-npu6=22;qwen7b-npu7=20
35,93,1.0,128.71806899784133,182.61972599793808,218.96923500025878,qwen7b-npu4=27;qwen7b-npu5=22;qwen7b-npu6=20;qwen7b-npu7=24
36,90,1.0,128.2653259986546,181.04362599842716,231.31969000314712,qwen7b-npu4=25;qwen7b-npu5=24;qwen7b-npu6=21;qwen7b-npu7=20
37,94,1.0,131.0260530008236,189.68371799928718,224.07412599932286,qwen7b-npu4=22;qwen7b-npu5=22;qwen7b-npu6=29;qwen7b-npu7=21
38,87,1.0,135.73522099977708,233.96230599973933,273.40591399843106,qwen7b-npu4=19;qwen7b-npu5=23;qwen7b-npu6=22;qwen7b-npu7=23
39,95,1.0,109.12138099956792,183.19745899862028,194.376307001221,qwen7b-npu4=25;qwen7b-npu5=21;qwen7b-npu6=24;qwen7b-npu7=25
40,93,1.0,129.32130199988023,199.91596000181744,213.8034540002991,qwen7b-npu4=23;qwen7b-npu5=25;qwen7b-npu6=22;qwen7b-npu7=23
41,97,1.0,107.59347099883598,210.20933199906722,217.37376599776326,qwen7b-npu4=23;qwen7b-npu5=24;qwen7b-npu6=24;qwen7b-npu7=26
42,101,1.0,112.56924099870957,165.27137999946717,185.32327100183466,qwen7b-npu4=28;qwen7b-npu5=23;qwen7b-npu6=27;qwen7b-npu7=23
43,94,1.0,113.35548599890899,186.51764900278067,219.38284700081567,qwen7b-npu4=19;qwen7b-npu5=25;qwen7b-npu6=26;qwen7b-npu7=24
44,91,1.0,132.58232299995143,175.04692999864346,182.8805570003169,qwen7b-npu4=28;qwen7b-npu5=19;qwen7b-npu6=22;qwen7b-npu7=22
45,92,1.0,131.6741170012392,180.322760999843,185.4753929983417,qwen7b-npu4=20;qwen7b-npu5=25;qwen7b-npu6=22;qwen7b-npu7=25
46,96,1.0,127.90850400051568,178.61114100014674,222.71772800013423,qwen7b-npu4=26;qwen7b-npu5=24;qwen7b-npu6=24;qwen7b-npu7=22
47,96,1.0,132.3700809989532,177.9324569979508,182.4641149978561,qwen7b-npu4=24;qwen7b-npu5=24;qwen7b-npu6=23;qwen7b-npu7=25
48,93,1.0,124.80787499953294,181.8001200008439,219.96749099707813,qwen7b-npu4=21;qwen7b-npu5=22;qwen7b-npu6=25;qwen7b-npu7=25
49,94,1.0,127.78071300272131,178.7912520012469,199.3304169991461,qwen7b-npu4=25;qwen7b-npu5=24;qwen7b-npu6=21;qwen7b-npu7=24
50,101,1.0,108.74882799907937,181.84137099888176,192.5289350001549,qwen7b-npu4=26;qwen7b-npu5=25;qwen7b-npu6=26;qwen7b-npu7=24
51,94,1.0,123.69351800225559,176.78049000096507,184.77814799916814,qwen7b-npu4=24;qwen7b-npu5=23;qwen7b-npu6=24;qwen7b-npu7=23
52,93,1.0,137.82447400080855,179.60563700034982,183.07682799786562,qwen7b-npu4=23;qwen7b-npu5=23;qwen7b-npu6=23;qwen7b-npu7=24
53,84,1.0,137.75198299845215,220.79629699874204,246.32326099890633,qwen7b-npu4=13;qwen7b-npu5=23;qwen7b-npu6=26;qwen7b-npu7=22
54,93,1.0,126.14964399836026,181.36033799964935,189.51714699869626,qwen7b-npu4=31;qwen7b-npu5=20;qwen7b-npu6=20;qwen7b-npu7=22
55,90,1.0,135.35735000186833,210.097520997806,223.0190299997048,qwen7b-npu4=23;qwen7b-npu5=21;qwen7b-npu6=23;qwen7b-npu7=23
56,101,1.0,106.98653799772728,181.3769769978535,204.95477999793366,qwen7b-npu4=24;qwen7b-npu5=28;qwen7b-npu6=22;qwen7b-npu7=27
57,91,1.0,128.89931999961846,190.64432400045916,229.72809100247105,qwen7b-npu4=22;qwen7b-npu5=23;qwen7b-npu6=25;qwen7b-npu7=21
58,92,1.0,134.9860370028182,184.2642049996357,229.90296100033447,qwen7b-npu4=23;qwen7b-npu5=22;qwen7b-npu6=25;qwen7b-npu7=22
59,95,1.0,118.65126799966674,206.16063800116535,233.68462400321732,qwen7b-npu4=20;qwen7b-npu5=27;qwen7b-npu6=24;qwen7b-npu7=24
60,89,1.0,136.11310300257173,179.70900799991796,210.52079400033108,qwen7b-npu4=26;qwen7b-npu5=21;qwen7b-npu6=21;qwen7b-npu7=21
61,97,1.0,132.63034299961873,182.019082003535,215.57010499964235,qwen7b-npu4=28;qwen7b-npu5=24;qwen7b-npu6=25;qwen7b-npu7=20
62,86,1.0,134.66415500079165,240.67097700026352,251.1359900017851,qwen7b-npu4=20;qwen7b-npu5=22;qwen7b-npu6=19;qwen7b-npu7=25
63,95,1.0,130.0218069991388,180.68277400016086,193.08990900026402,qwen7b-npu4=20;qwen7b-npu5=24;qwen7b-npu6=25;qwen7b-npu7=26
64,89,1.0,135.95438300035312,215.15816200189875,234.5627600006992,qwen7b-npu4=22;qwen7b-npu5=22;qwen7b-npu6=23;qwen7b-npu7=22
65,93,1.0,134.53870399825973,174.12402300033136,193.27853899812908,qwen7b-npu4=26;qwen7b-npu5=20;qwen7b-npu6=23;qwen7b-npu7=24
66,91,1.0,129.61538499803282,218.91504499944858,266.0321399998793,qwen7b-npu4=23;qwen7b-npu5=19;qwen7b-npu6=25;qwen7b-npu7=24
67,89,1.0,133.4272679996502,187.30551400221884,230.0534419991891,qwen7b-npu4=24;qwen7b-npu5=28;qwen7b-npu6=21;qwen7b-npu7=16
68,89,1.0,129.84522599799675,198.94622400170192,238.76706499868305,qwen7b-npu4=19;qwen7b-npu5=21;qwen7b-npu6=22;qwen7b-npu7=27
69,92,1.0,134.8467960015114,188.14840899722185,235.91285799921025,qwen7b-npu4=23;qwen7b-npu5=23;qwen7b-npu6=24;qwen7b-npu7=22
70,94,1.0,131.73212699985015,180.16857000111486,186.5633390007133,qwen7b-npu4=23;qwen7b-npu5=22;qwen7b-npu6=24;qwen7b-npu7=25
71,95,1.0,134.89639700128464,177.13117200037232,191.16108699745382,qwen7b-npu4=24;qwen7b-npu5=25;qwen7b-npu6=23;qwen7b-npu7=23
72,88,1.0,133.89212000038242,199.84044900047593,232.1837349991256,qwen7b-npu4=23;qwen7b-npu5=20;qwen7b-npu6=23;qwen7b-npu7=22
73,95,1.0,130.78402199971606,176.9067810018896,190.5816729995422,qwen7b-npu4=25;qwen7b-npu5=26;qwen7b-npu6=20;qwen7b-npu7=24
74,95,1.0,123.90507999953115,181.50750799759408,186.95404100071755,qwen7b-npu4=24;qwen7b-npu5=22;qwen7b-npu6=25;qwen7b-npu7=24
75,94,1.0,134.12095200328622,184.1664249986934,187.7585160000308,qwen7b-npu4=24;qwen7b-npu5=25;qwen7b-npu6=29;qwen7b-npu7=16
76,92,1.0,128.13204499980202,185.20799999896553,207.08655300040846,qwen7b-npu4=28;qwen7b-npu5=27;qwen7b-npu6=21;qwen7b-npu7=16
77,91,1.0,133.8852510016295,216.85624200108577,227.12075500021456,qwen7b-npu4=22;qwen7b-npu5=24;qwen7b-npu6=29;qwen7b-npu7=16
78,90,1.0,129.03347100291285,190.84914500126615,211.43327000027057,qwen7b-npu4=22;qwen7b-npu5=23;qwen7b-npu6=26;qwen7b-npu7=19
79,89,1.0,134.71171499986667,182.04465199960396,217.38797500074725,qwen7b-npu4=16;qwen7b-npu5=27;qwen7b-npu6=22;qwen7b-npu7=24
80,93,1.0,134.1139110008953,214.83960999830742,225.0930119989789,qwen7b-npu4=31;qwen7b-npu5=20;qwen7b-npu6=23;qwen7b-npu7=19
81,84,1.0,135.17116799994255,194.1448350007704,210.74412600137293,qwen7b-npu4=21;qwen7b-npu5=21;qwen7b-npu6=22;qwen7b-npu7=20
82,89,1.0,131.09233300201595,228.7423250018037,249.82985200040275,qwen7b-npu4=26;qwen7b-npu5=23;qwen7b-npu6=24;qwen7b-npu7=16
83,91,1.0,130.40208000165876,185.10869000238017,196.98227199842222,qwen7b-npu4=26;qwen7b-npu5=25;qwen7b-npu6=24;qwen7b-npu7=16
84,90,1.0,132.60608199925628,180.6992329984496,185.89518500084523,qwen7b-npu4=22;qwen7b-npu5=23;qwen7b-npu6=24;qwen7b-npu7=21
85,89,1.0,126.72045700310264,196.40665900078602,227.25850599817932,qwen7b-npu4=26;qwen7b-npu5=23;qwen7b-npu6=19;qwen7b-npu7=21
86,85,1.0,141.44045600187383,216.262979000021,230.04220200164127,qwen7b-npu4=14;qwen7b-npu5=19;qwen7b-npu6=17;qwen7b-npu7=35
87,91,1.0,128.3844270001282,188.18355900293682,237.316025999462,qwen7b-npu4=20;qwen7b-npu5=20;qwen7b-npu6=24;qwen7b-npu7=27
88,95,1.0,134.8095760004071,180.84947500028647,213.03157999864197,qwen7b-npu4=23;qwen7b-npu5=22;qwen7b-npu6=24;qwen7b-npu7=26
89,92,1.0,125.44502899982035,187.40199400053825,224.68207999918377,qwen7b-npu4=23;qwen7b-npu5=19;qwen7b-npu6=23;qwen7b-npu7=27
90,94,1.0,130.5508599980385,179.55391600116855,190.76462500015623,qwen7b-npu4=25;qwen7b-npu5=26;qwen7b-npu6=21;qwen7b-npu7=22
91,88,1.0,136.83875800052192,183.63716100066085,224.42234800109873,qwen7b-npu4=20;qwen7b-npu5=19;qwen7b-npu6=21;qwen7b-npu7=28
92,90,1.0,137.9400740006531,190.45458200344,213.72935399995185,qwen7b-npu4=21;qwen7b-npu5=23;qwen7b-npu6=22;qwen7b-npu7=24
93,95,1.0,121.88730699926964,217.6563270004408,223.56495300118695,qwen7b-npu4=25;qwen7b-npu5=26;qwen7b-npu6=21;qwen7b-npu7=23
94,96,1.0,123.73335899974336,184.51440699936938,191.15164699906018,qwen7b-npu4=24;qwen7b-npu5=24;qwen7b-npu6=25;qwen7b-npu7=23
95,97,1.0,108.98897999868495,192.5323049981671,220.20057299960172,qwen7b-npu4=26;qwen7b-npu5=22;qwen7b-npu6=24;qwen7b-npu7=25
