second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
64,112,1.0,104.24485099792946,121.99201800103765,126.97175799985416,qwen7b-npu3=23;qwen7b-npu4=22;qwen7b-npu5=22;qwen7b-npu6=23;qwen7b-npu7=22
65,115,1.0,103.7129169999389,120.53631000162568,196.67124999978114,qwen7b-npu3=23;qwen7b-npu4=23;qwen7b-npu5=23;qwen7b-npu6=23;qwen7b-npu7=23
66,115,1.0,104.83685399958631,116.86879700209829,118.59132699828479,qwen7b-npu3=23;qwen7b-npu4=23;qwen7b-npu5=23;qwen7b-npu6=23;qwen7b-npu7=23
67,117,1.0,100.9144399977231,119.0935510021518,157.18966200074647,qwen7b-npu3=23;qwen7b-npu4=23;qwen7b-npu5=24;qwen7b-npu6=23;qwen7b-npu7=24
68,115,1.0,102.39131999696838,117.59205099951942,158.15442700113636,qwen7b-npu3=23;qwen7b-npu4=23;qwen7b-npu5=23;qwen7b-npu6=23;qwen7b-npu7=23
69,108,1.0,108.54551699958392,149.67708599942853,164.12369400131865,qwen7b-npu3=21;qwen7b-npu4=22;qwen7b-npu5=22;qwen7b-npu6=22;qwen7b-npu7=21
70,103,1.0,106.2782029985101,163.01011600080528,185.2591510032653,qwen7b-npu3=20;qwen7b-npu4=21;qwen7b-npu5=21;qwen7b-npu6=21;qwen7b-npu7=20
71,90,1.0,113.77666800035513,205.75530600035563,306.8475069994747,qwen7b-npu3=19;qwen7b-npu4=18;qwen7b-npu5=17;qwen7b-npu6=18;qwen7b-npu7=18
72,122,1.0,98.2902150026348,114.78072499812697,122.3145600015414,qwen7b-npu3=24;qwen7b-npu4=24;qwen7b-npu5=25;qwen7b-npu6=24;qwen7b-npu7=25
73,87,1.0,116.29481400086661,215.99862800212577,223.48485300244647,qwen7b-npu3=18;qwen7b-npu4=17;qwen7b-npu5=16;qwen7b-npu6=18;qwen7b-npu7=18
74,102,1.0,106.08826200041221,210.6510449993948,224.33480799736571,qwen7b-npu3=21;qwen7b-npu4=21;qwen7b-npu5=21;qwen7b-npu6=20;qwen7b-npu7=19
75,116,1.0,103.61536699929275,118.50060700089671,139.12580200121738,qwen7b-npu3=22;qwen7b-npu4=23;qwen7b-npu5=24;qwen7b-npu6=23;qwen7b-npu7=24
76,113,1.0,104.57884300194564,129.4066529990232,153.01461600029143,qwen7b-npu3=23;qwen7b-npu4=23;qwen7b-npu5=22;qwen7b-npu6=22;qwen7b-npu7=23
77,117,1.0,102.1959079989756,116.92213700007414,123.69920800119871,qwen7b-npu3=23;qwen7b-npu4=23;qwen7b-npu5=24;qwen7b-npu6=24;qwen7b-npu7=23
78,118,1.0,103.2131739993929,118.69318800017936,126.77074699968216,qwen7b-npu3=24;qwen7b-npu4=24;qwen7b-npu5=23;qwen7b-npu6=23;qwen7b-npu7=24
79,117,1.0,102.45057000065572,116.60748600115767,119.84398499771487,qwen7b-npu3=23;qwen7b-npu4=23;qwen7b-npu5=24;qwen7b-npu6=24;qwen7b-npu7=23
80,115,1.0,102.08295800111955,120.22569799955818,197.14065399966785,qwen7b-npu3=23;qwen7b-npu4=23;qwen7b-npu5=23;qwen7b-npu6=23;qwen7b-npu7=23
81,115,1.0,104.52528200039524,117.83808299878729,121.14364399894839,qwen7b-npu3=23;qwen7b-npu4=23;qwen7b-npu5=23;qwen7b-npu6=23;qwen7b-npu7=23
82,115,1.0,101.97292700104299,122.23756000094,167.57519399834564,qwen7b-npu3=23;qwen7b-npu4=23;qwen7b-npu5=23;qwen7b-npu6=23;qwen7b-npu7=23
83,119,1.0,101.60241500125267,115.06186599945067,121.10874299833085,qwen7b-npu3=24;qwen7b-npu4=24;qwen7b-npu5=23;qwen7b-npu6=24;qwen7b-npu7=24
84,119,1.0,101.6291949999868,113.79133900118177,115.40750800122623,qwen7b-npu3=24;qwen7b-npu4=24;qwen7b-npu5=24;qwen7b-npu6=23;qwen7b-npu7=24
85,119,1.0,102.77396200035582,115.2896379971935,120.37471800067578,qwen7b-npu3=24;qwen7b-npu4=24;qwen7b-npu5=24;qwen7b-npu6=24;qwen7b-npu7=23
86,114,1.0,104.07059000135632,120.08860599962645,139.3755440003588,qwen7b-npu3=22;qwen7b-npu4=22;qwen7b-npu5=23;qwen7b-npu6=23;qwen7b-npu7=24
87,120,1.0,102.28601900234935,115.80394100019475,118.62385800122865,qwen7b-npu3=24;qwen7b-npu4=25;qwen7b-npu5=24;qwen7b-npu6=24;qwen7b-npu7=23
88,115,1.0,102.22188899933826,121.37662399982219,147.88461499847472,qwen7b-npu3=23;qwen7b-npu4=23;qwen7b-npu5=23;qwen7b-npu6=23;qwen7b-npu7=23
89,119,1.0,101.20984199966188,115.15694700210588,119.84137499894132,qwen7b-npu3=24;qwen7b-npu4=24;qwen7b-npu5=24;qwen7b-npu6=24;qwen7b-npu7=23
90,118,1.0,101.87776599923382,115.631590000703,126.19464399904246,qwen7b-npu3=23;qwen7b-npu4=23;qwen7b-npu5=23;qwen7b-npu6=24;qwen7b-npu7=25
91,114,1.0,103.26657499899738,113.75636799857602,127.83075400147936,qwen7b-npu3=23;qwen7b-npu4=23;qwen7b-npu5=23;qwen7b-npu6=23;qwen7b-npu7=22
92,121,1.0,101.74495500177727,111.60054599895375,116.3205740012927,qwen7b-npu3=25;qwen7b-npu4=24;qwen7b-npu5=24;qwen7b-npu6=24;qwen7b-npu7=24
93,116,1.0,100.17874600089272,116.09456299993326,119.36646300091525,qwen7b-npu3=23;qwen7b-npu4=23;qwen7b-npu5=23;qwen7b-npu6=24;qwen7b-npu7=23
94,117,1.0,101.96019700015313,118.98956000004546,157.7776449994417,qwen7b-npu3=23;qwen7b-npu4=24;qwen7b-npu5=24;qwen7b-npu6=22;qwen7b-npu7=24
95,113,1.0,101.92078700129059,123.33652599772904,228.74534400034463,qwen7b-npu3=23;qwen7b-npu4=22;qwen7b-npu5=23;qwen7b-npu6=23;qwen7b-npu7=22
96,118,1.0,101.61378499833518,115.4705679982726,141.5736970011494,qwen7b-npu3=23;qwen7b-npu4=24;qwen7b-npu5=24;qwen7b-npu6=23;qwen7b-npu7=24
97,118,1.0,101.84765699887066,112.40858000019216,116.78783699971973,qwen7b-npu3=24;qwen7b-npu4=24;qwen7b-npu5=23;qwen7b-npu6=24;qwen7b-npu7=23
98,120,1.0,101.68356600115658,110.05134599690791,112.5252609999734,qwen7b-npu3=24;qwen7b-npu4=24;qwen7b-npu5=24;qwen7b-npu6=24;qwen7b-npu7=24
99,117,1.0,100.85201000038069,119.57047399846488,131.937079000636,qwen7b-npu3=23;qwen7b-npu4=23;qwen7b-npu5=24;qwen7b-npu6=23;qwen7b-npu7=24
100,118,1.0,101.07602100106305,115.70779000248876,117.42900099852704,qwen7b-npu3=24;qwen7b-npu4=24;qwen7b-npu5=23;qwen7b-npu6=24;qwen7b-npu7=23
