second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
37,103,1.0,112.72135200124467,175.52986199734733,181.49589899985585,qwen7b-npu3=5;qwen7b-npu4=25;qwen7b-npu5=23;qwen7b-npu6=27;qwen7b-npu7=23
38,94,1.0,127.11976900027366,214.82435000143596,225.34075400108122,qwen7b-npu3=5;qwen7b-npu4=22;qwen7b-npu5=23;qwen7b-npu6=24;qwen7b-npu7=20
39,92,1.0,124.54552400231478,183.34985000183224,185.69947400101228,qwen7b-npu3=3;qwen7b-npu4=19;qwen7b-npu5=23;qwen7b-npu6=22;qwen7b-npu7=25
40,94,1.0,125.40626900226925,186.5458789980039,189.84968899894739,qwen7b-npu3=1;qwen7b-npu4=25;qwen7b-npu5=25;qwen7b-npu6=23;qwen7b-npu7=20
41,94,1.0,119.92860600003041,180.6759229984891,184.99430999872857,qwen7b-npu3=3;qwen7b-npu4=23;qwen7b-npu5=19;qwen7b-npu6=24;qwen7b-npu7=25
42,96,1.0,127.8849939990323,188.24508900070214,193.22299000123166,qwen7b-npu3=8;qwen7b-npu4=21;qwen7b-npu5=26;qwen7b-npu6=22;qwen7b-npu7=19
43,98,1.0,118.60725799851934,184.32969499917817,216.44417000061367,qwen7b-npu3=5;qwen7b-npu4=24;qwen7b-npu5=22;qwen7b-npu6=23;qwen7b-npu7=24
44,92,1.0,128.14220499785733,179.6022569978959,185.69859400304267,qwen7b-npu3=2;qwen7b-npu4=23;qwen7b-npu5=23;qwen7b-npu6=23;qwen7b-npu7=21
45,94,1.0,125.37865900230827,171.80972000278416,180.46553200110793,qwen7b-npu3=1;qwen7b-npu4=22;qwen7b-npu5=25;qwen7b-npu6=25;qwen7b-npu7=21
46,101,1.0,129.25834199995734,175.48689199975342,183.01439800052322,qwen7b-npu3=1;qwen7b-npu4=28;qwen7b-npu5=22;qwen7b-npu6=22;qwen7b-npu7=28
47,89,1.0,127.47231100001954,192.31156400201144,216.24006899946835,qwen7b-npu3=3;qwen7b-npu4=19;qwen7b-npu5=23;qwen7b-npu6=25;qwen7b-npu7=19
48,103,1.0,109.18240099999821,182.56788500002585,184.41076599992812,qwen7b-npu3=2;qwen7b-npu4=24;qwen7b-npu5=27;qwen7b-npu6=23;qwen7b-npu7=27
