second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
34,245,1.0,127.9599298723042,144.97218281030655,147.89396291598678,qwen15b-npu3=13;qwen15b-npu4=56;qwen15b-npu5=58;qwen15b-npu6=59;qwen15b-npu7=59
35,247,1.0,128.27514205127954,146.7456049285829,160.03897320479155,qwen15b-npu3=10;qwen15b-npu4=60;qwen15b-npu5=60;qwen15b-npu6=59;qwen15b-npu7=58
36,248,1.0,127.05782428383827,149.3345918133855,156.36978903785348,qwen15b-npu3=8;qwen15b-npu4=59;qwen15b-npu5=60;qwen15b-npu6=59;qwen15b-npu7=62
37,247,1.0,129.09126793965697,147.8525921702385,154.4255563057959,qwen15b-npu3=7;qwen15b-npu4=61;qwen15b-npu5=61;qwen15b-npu6=60;qwen15b-npu7=58
38,245,1.0,130.5097066797316,150.77623212710023,155.9937559068203,qwen15b-npu3=7;qwen15b-npu4=59;qwen15b-npu5=59;qwen15b-npu6=61;qwen15b-npu7=59
39,246,1.0,129.065977409482,154.72684800624847,167.73580387234688,qwen15b-npu3=5;qwen15b-npu4=60;qwen15b-npu5=62;qwen15b-npu6=58;qwen15b-npu7=61
40,241,1.0,128.95933585241437,154.7322073020041,161.4854228682816,qwen15b-npu3=5;qwen15b-npu4=59;qwen15b-npu5=57;qwen15b-npu6=61;qwen15b-npu7=59
41,242,1.0,129.56256000325084,153.85030210018158,159.90374190732837,qwen15b-npu3=6;qwen15b-npu4=61;qwen15b-npu5=57;qwen15b-npu6=59;qwen15b-npu7=59
42,251,1.0,128.53847397491336,148.65543693304062,156.56200982630253,qwen15b-npu3=3;qwen15b-npu4=62;qwen15b-npu5=65;qwen15b-npu6=58;qwen15b-npu7=63
43,247,1.0,128.23360227048397,149.89863615483046,158.31005107611418,qwen15b-npu3=5;qwen15b-npu4=59;qwen15b-npu5=60;qwen15b-npu6=63;qwen15b-npu7=60
44,245,1.0,128.54644330218434,151.15540381520987,158.63602375611663,qwen15b-npu3=4;qwen15b-npu4=62;qwen15b-npu5=61;qwen15b-npu6=60;qwen15b-npu7=58
45,245,1.0,129.5593809336424,148.6259582452476,160.5079062283039,qwen15b-npu3=6;qwen15b-npu4=60;qwen15b-npu5=59;qwen15b-npu6=58;qwen15b-npu7=62
46,248,1.0,125.93113584443927,150.15139803290367,157.65888802707195,qwen15b-npu3=5;qwen15b-npu4=60;qwen15b-npu5=62;qwen15b-npu6=62;qwen15b-npu7=59
47,244,1.0,128.12672089785337,149.9353856779635,154.66250712051988,qwen15b-npu3=7;qwen15b-npu4=60;qwen15b-npu5=59;qwen15b-npu6=59;qwen15b-npu7=59
48,256,1.0,126.52182998135686,142.64673693105578,147.30556774884462,qwen15b-npu3=6;qwen15b-npu4=62;qwen15b-npu5=63;qwen15b-npu6=62;qwen15b-npu7=63
49,244,1.0,128.72636504471302,144.26990877836943,149.63359385728836,qwen15b-npu3=5;qwen15b-npu4=61;qwen15b-npu5=58;qwen15b-npu6=60;qwen15b-npu7=60
50,243,1.0,131.30432181060314,148.08959374204278,156.43958980217576,qwen15b-npu3=4;qwen15b-npu4=58;qwen15b-npu5=61;qwen15b-npu6=59;qwen15b-npu7=61
51,251,1.0,129.92970319464803,152.99204597249627,156.16527758538723,qwen15b-npu3=8;qwen15b-npu4=61;qwen15b-npu5=60;qwen15b-npu6=61;qwen15b-npu7=61
52,242,1.0,128.3028731122613,148.7398580648005,155.3976023569703,qwen15b-npu3=6;qwen15b-npu4=59;qwen15b-npu5=59;qwen15b-npu6=59;qwen15b-npu7=59
53,251,1.0,127.52262689173222,146.3908920995891,149.18439090251923,qwen15b-npu3=7;qwen15b-npu4=63;qwen15b-npu5=63;qwen15b-npu6=60;qwen15b-npu7=58
54,250,1.0,126.60934124141932,148.10325391590595,153.79176195710897,qwen15b-npu3=6;qwen15b-npu4=60;qwen15b-npu5=61;qwen15b-npu6=61;qwen15b-npu7=62
55,250,1.0,125.94541627913713,147.42587972432375,152.69216429442167,qwen15b-npu3=5;qwen15b-npu4=61;qwen15b-npu5=61;qwen15b-npu6=62;qwen15b-npu7=61
56,243,1.0,129.52505005523562,147.59783074259758,159.294577781111,qwen15b-npu3=4;qwen15b-npu4=59;qwen15b-npu5=59;qwen15b-npu6=59;qwen15b-npu7=62
57,247,1.0,129.28885919973254,149.3297517299652,154.50866613537073,qwen15b-npu3=7;qwen15b-npu4=63;qwen15b-npu5=60;qwen15b-npu6=60;qwen15b-npu7=57
58,249,1.0,129.9550929106772,152.2766719572246,157.91530907154083,qwen15b-npu3=8;qwen15b-npu4=58;qwen15b-npu5=61;qwen15b-npu6=60;qwen15b-npu7=62
59,246,1.0,125.78540621325374,144.25625884905457,147.6452499628067,qwen15b-npu3=6;qwen15b-npu4=60;qwen15b-npu5=61;qwen15b-npu6=62;qwen15b-npu7=57
60,181,1.0,131.75709499046206,153.45966862514615,169.5234258659184,qwen15b-npu3=4;qwen15b-npu4=25;qwen15b-npu5=50;qwen15b-npu6=48;qwen15b-npu7=54
61,75,1.0,125.45858323574066,142.81086903065443,147.316028829664,qwen15b-npu3=5;qwen15b-npu5=24;qwen15b-npu6=24;qwen15b-npu7=22
62,155,1.0,135.45164884999394,2074.664351064712,2123.827468138188,qwen15b-npu3=7;qwen15b-npu4=65;qwen15b-npu5=27;qwen15b-npu6=27;qwen15b-npu7=29
63,237,1.0,132.50919012352824,170.42479338124394,197.3420111462474,qwen15b-npu4=64;qwen15b-npu5=57;qwen15b-npu6=58;qwen15b-npu7=58
64,244,1.0,130.72164822369814,149.67945404350758,153.22978794574738,qwen15b-npu3=6;qwen15b-npu4=61;qwen15b-npu5=59;qwen15b-npu6=59;qwen15b-npu7=59
65,240,1.0,130.2674151957035,155.68721387535334,158.74207485467196,qwen15b-npu3=7;qwen15b-npu4=57;qwen15b-npu5=59;qwen15b-npu6=58;qwen15b-npu7=59
66,246,1.0,128.382152877748,148.211935069412,157.84699795767665,qwen15b-npu3=6;qwen15b-npu4=59;qwen15b-npu5=62;qwen15b-npu6=61;qwen15b-npu7=58
67,239,1.0,133.1715350970626,154.40469607710838,161.57163307070732,qwen15b-npu3=5;qwen15b-npu4=59;qwen15b-npu5=57;qwen15b-npu6=58;qwen15b-npu7=60
68,246,1.0,130.63297793269157,155.26845213025808,165.4622689820826,qwen15b-npu3=6;qwen15b-npu4=61;qwen15b-npu5=60;qwen15b-npu6=58;qwen15b-npu7=61
69,238,1.0,128.8840868510306,149.27263092249632,157.08707319572568,qwen15b-npu3=7;qwen15b-npu4=57;qwen15b-npu5=59;qwen15b-npu6=60;qwen15b-npu7=55
70,245,1.0,129.9129631370306,154.4419857673347,162.66903094947338,qwen15b-npu3=6;qwen15b-npu4=60;qwen15b-npu5=59;qwen15b-npu6=58;qwen15b-npu7=62
71,245,1.0,128.80093604326248,148.40813586488366,157.86090772598982,qwen15b-npu3=5;qwen15b-npu4=58;qwen15b-npu5=61;qwen15b-npu6=62;qwen15b-npu7=59
72,242,1.0,130.09712379425764,155.68578382954001,173.9592757076025,qwen15b-npu3=7;qwen15b-npu4=60;qwen15b-npu5=59;qwen15b-npu6=55;qwen15b-npu7=61
