second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
43,252,1.0,126.96592416614294,146.4552548713982,152.86972699686885,qwen15b-npu3=6;qwen15b-npu4=61;qwen15b-npu5=59;qwen15b-npu6=64;qwen15b-npu7=62
44,250,1.0,128.35935316979885,144.0277281217277,150.40214080363512,qwen15b-npu3=4;qwen15b-npu4=61;qwen15b-npu5=62;qwen15b-npu6=62;qwen15b-npu7=61
45,248,1.0,127.53210682421923,149.16878286749125,161.52118612080812,qwen15b-npu3=6;qwen15b-npu4=61;qwen15b-npu5=61;qwen15b-npu6=59;qwen15b-npu7=61
46,251,1.0,126.33497919887304,148.3340268023312,157.25323744118214,qwen15b-npu3=6;qwen15b-npu4=62;qwen15b-npu5=61;qwen15b-npu6=61;qwen15b-npu7=61
47,247,1.0,127.60362681001425,147.08568900823593,152.90792798623443,qwen15b-npu3=5;qwen15b-npu4=61;qwen15b-npu5=61;qwen15b-npu6=60;qwen15b-npu7=60
48,249,1.0,128.03206127136946,149.08382203429937,155.00405197963119,qwen15b-npu3=6;qwen15b-npu4=60;qwen15b-npu5=60;qwen15b-npu6=62;qwen15b-npu7=61
49,248,1.0,125.7892157882452,154.44651804864407,156.97130467742682,qwen15b-npu3=7;qwen15b-npu4=60;qwen15b-npu5=60;qwen15b-npu6=60;qwen15b-npu7=61
50,246,1.0,127.94700963422656,148.9764405414462,153.7792137823999,qwen15b-npu3=4;qwen15b-npu4=61;qwen15b-npu5=62;qwen15b-npu6=59;qwen15b-npu7=60
51,253,1.0,128.24863195419312,148.2209269888699,153.6918031051755,qwen15b-npu3=6;qwen15b-npu4=63;qwen15b-npu5=61;qwen15b-npu6=62;qwen15b-npu7=61
52,241,1.0,130.20849507302046,148.9397520199418,156.41859220340848,qwen15b-npu3=5;qwen15b-npu4=57;qwen15b-npu5=60;qwen15b-npu6=60;qwen15b-npu7=59
53,251,1.0,126.31366914138198,147.12378941476345,155.30335390940309,qwen15b-npu3=9;qwen15b-npu4=62;qwen15b-npu5=62;qwen15b-npu6=59;qwen15b-npu7=59
54,253,1.0,126.06592709198594,145.9504310041666,153.33673125132918,qwen15b-npu3=4;qwen15b-npu4=62;qwen15b-npu5=62;qwen15b-npu6=61;qwen15b-npu7=64
55,247,1.0,126.7412630841136,146.73941675573587,152.1078529767692,qwen15b-npu3=8;qwen15b-npu4=60;qwen15b-npu5=59;qwen15b-npu6=62;qwen15b-npu7=58
56,247,1.0,128.43973375856876,152.68977591767907,160.41027894243598,qwen15b-npu3=6;qwen15b-npu4=60;qwen15b-npu5=60;qwen15b-npu6=60;qwen15b-npu7=61
57,250,1.0,125.863425899297,143.0953717790544,150.516991969198,qwen15b-npu3=5;qwen15b-npu4=61;qwen15b-npu5=62;qwen15b-npu6=61;qwen15b-npu7=61
58,247,1.0,127.74293776601553,151.29203721880913,156.24865097925067,qwen15b-npu3=6;qwen15b-npu4=61;qwen15b-npu5=60;qwen15b-npu6=60;qwen15b-npu7=60
59,249,1.0,126.84720288962126,149.02523206546903,156.7036327905953,qwen15b-npu3=7;qwen15b-npu4=61;qwen15b-npu5=61;qwen15b-npu6=59;qwen15b-npu7=61
60,249,1.0,127.44991574436426,147.8232443332672,153.28882122412324,qwen15b-npu3=7;qwen15b-npu4=60;qwen15b-npu5=61;qwen15b-npu6=62;qwen15b-npu7=59
61,250,1.0,127.69671808928251,149.34557396918535,152.0601320080459,qwen15b-npu3=6;qwen15b-npu4=62;qwen15b-npu5=61;qwen15b-npu6=59;qwen15b-npu7=62
62,248,1.0,127.71874899044633,145.71435982361436,154.0147946216166,qwen15b-npu3=5;qwen15b-npu4=61;qwen15b-npu5=61;qwen15b-npu6=62;qwen15b-npu7=59
63,248,1.0,128.92621709033847,153.2284002751112,156.55839210376143,qwen15b-npu3=8;qwen15b-npu4=60;qwen15b-npu5=59;qwen15b-npu6=60;qwen15b-npu7=61
64,245,1.0,127.93271010741591,148.12765596434474,153.1458687968552,qwen15b-npu3=5;qwen15b-npu4=59;qwen15b-npu5=61;qwen15b-npu6=60;qwen15b-npu7=60
65,254,1.0,124.4267369620502,142.80459005385637,149.2736740037799,qwen15b-npu3=7;qwen15b-npu4=62;qwen15b-npu5=62;qwen15b-npu6=62;qwen15b-npu7=61
66,246,1.0,130.31545700505376,149.37583496794105,153.7940539419651,qwen15b-npu3=6;qwen15b-npu4=60;qwen15b-npu5=59;qwen15b-npu6=61;qwen15b-npu7=60
67,250,1.0,125.41279289871454,147.20751019194722,156.74304403364658,qwen15b-npu3=6;qwen15b-npu4=61;qwen15b-npu5=62;qwen15b-npu6=59;qwen15b-npu7=62
68,248,1.0,128.11458203941584,146.19041327387094,151.29590826109052,qwen15b-npu3=6;qwen15b-npu4=61;qwen15b-npu5=60;qwen15b-npu6=60;qwen15b-npu7=61
69,252,1.0,125.21245190873742,145.09514579549432,149.755307007581,qwen15b-npu3=6;qwen15b-npu4=61;qwen15b-npu5=63;qwen15b-npu6=62;qwen15b-npu7=60
70,249,1.0,125.24026166647673,141.75780303776264,148.23968708515167,qwen15b-npu3=6;qwen15b-npu4=62;qwen15b-npu5=59;qwen15b-npu6=62;qwen15b-npu7=60
71,246,1.0,127.16295523568988,154.95847212150693,166.3670288398862,qwen15b-npu3=7;qwen15b-npu4=60;qwen15b-npu5=61;qwen15b-npu6=58;qwen15b-npu7=60
72,251,1.0,127.24245619028807,149.17177287861705,156.0204178094864,qwen15b-npu3=6;qwen15b-npu4=61;qwen15b-npu5=60;qwen15b-npu6=62;qwen15b-npu7=62
73,246,1.0,127.46644672006369,146.51129487901926,149.56485480070114,qwen15b-npu3=7;qwen15b-npu4=61;qwen15b-npu5=60;qwen15b-npu6=58;qwen15b-npu7=60
74,249,1.0,128.46090411767364,144.23411898314953,148.3077071607113,qwen15b-npu3=4;qwen15b-npu4=60;qwen15b-npu5=62;qwen15b-npu6=61;qwen15b-npu7=62
75,250,1.0,128.25349206104875,145.2285861596465,152.4718152359128,qwen15b-npu3=7;qwen15b-npu4=61;qwen15b-npu5=60;qwen15b-npu6=61;qwen15b-npu7=61
76,251,1.0,127.11037416011095,141.75158273428679,144.99341510236263,qwen15b-npu3=7;qwen15b-npu4=62;qwen15b-npu5=60;qwen15b-npu6=61;qwen15b-npu7=61
77,248,1.0,127.02195392921567,142.06692529842257,147.99937512725592,qwen15b-npu3=6;qwen15b-npu4=59;qwen15b-npu5=62;qwen15b-npu6=60;qwen15b-npu7=61
78,252,1.0,126.8390929326415,142.81245972961187,149.42389400675893,qwen15b-npu3=6;qwen15b-npu4=62;qwen15b-npu5=62;qwen15b-npu6=62;qwen15b-npu7=60
79,255,1.0,124.20861469581723,143.2741330936551,145.68783901631832,qwen15b-npu3=4;qwen15b-npu4=63;qwen15b-npu5=62;qwen15b-npu6=63;qwen15b-npu7=63
80,250,1.0,125.81529607996345,141.06752909719944,145.75788006186485,qwen15b-npu3=7;qwen15b-npu4=61;qwen15b-npu5=61;qwen15b-npu6=60;qwen15b-npu7=61
81,250,1.0,128.4902528859675,143.13850225880742,150.3468812443316,qwen15b-npu3=4;qwen15b-npu4=60;qwen15b-npu5=62;qwen15b-npu6=61;qwen15b-npu7=63
82,249,1.0,129.6045812778175,142.31547713279724,144.83194379135966,qwen15b-npu3=6;qwen15b-npu4=61;qwen15b-npu5=61;qwen15b-npu6=62;qwen15b-npu7=59
83,249,1.0,128.3131530508399,143.81844690069556,150.75192414224148,qwen15b-npu3=5;qwen15b-npu4=62;qwen15b-npu5=60;qwen15b-npu6=60;qwen15b-npu7=62
84,247,1.0,128.47497407346964,140.88317705318332,152.94587798416615,qwen15b-npu3=8;qwen15b-npu4=60;qwen15b-npu5=60;qwen15b-npu6=59;qwen15b-npu7=60
85,252,1.0,126.58178107813,145.99346090108156,151.4092180877924,qwen15b-npu3=14;qwen15b-npu4=58;qwen15b-npu5=61;qwen15b-npu6=60;qwen15b-npu7=59
86,250,1.0,126.86137296259403,139.5422383211553,145.77081007882953,qwen15b-npu3=15;qwen15b-npu4=61;qwen15b-npu5=58;qwen15b-npu6=57;qwen15b-npu7=59
87,251,1.0,127.74919904768467,143.75600731000304,150.91171488165855,qwen15b-npu3=18;qwen15b-npu4=57;qwen15b-npu5=58;qwen15b-npu6=61;qwen15b-npu7=57
88,248,1.0,129.35918010771275,143.60855612903833,147.90938515216112,qwen15b-npu3=20;qwen15b-npu4=58;qwen15b-npu5=58;qwen15b-npu6=54;qwen15b-npu7=58
89,245,1.0,128.02394106984138,149.32810375466943,159.42561207339168,qwen15b-npu3=25;qwen15b-npu4=53;qwen15b-npu5=56;qwen15b-npu6=56;qwen15b-npu7=55
90,251,1.0,127.10058409720659,146.10592229291797,154.93638208135962,qwen15b-npu3=27;qwen15b-npu4=57;qwen15b-npu5=55;qwen15b-npu6=57;qwen15b-npu7=55
91,255,1.0,126.08283758163452,143.28251406550407,152.8049069456756,qwen15b-npu3=28;qwen15b-npu4=58;qwen15b-npu5=56;qwen15b-npu6=57;qwen15b-npu7=56
92,248,1.0,126.78549205884337,147.19945890828967,156.44850116223097,qwen15b-npu3=34;qwen15b-npu4=53;qwen15b-npu5=55;qwen15b-npu6=53;qwen15b-npu7=53
93,254,1.0,127.38212710246444,143.91092723235488,153.8291648030281,qwen15b-npu3=37;qwen15b-npu4=56;qwen15b-npu5=53;qwen15b-npu6=53;qwen15b-npu7=55
94,255,1.0,124.17824473232031,142.085085157305,148.55365920811892,qwen15b-npu3=40;qwen15b-npu4=53;qwen15b-npu5=52;qwen15b-npu6=56;qwen15b-npu7=54
95,238,1.0,131.01330073550344,153.7170340307057,161.45448572933674,qwen15b-npu3=42;qwen15b-npu4=50;qwen15b-npu5=51;qwen15b-npu6=47;qwen15b-npu7=48
96,246,1.0,129.71366196870804,147.4379519931972,160.47156834974885,qwen15b-npu3=40;qwen15b-npu4=50;qwen15b-npu5=52;qwen15b-npu6=52;qwen15b-npu7=52
