second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
0,233,1.0,134.3282018788159,223.55699492618442,363.0410120822489,qwen15b-npu3=46;qwen15b-npu4=48;qwen15b-npu5=46;qwen15b-npu6=47;qwen15b-npu7=46
1,247,1.0,128.1800214201212,144.20936815440655,149.27344070747495,qwen15b-npu3=49;qwen15b-npu4=46;qwen15b-npu5=52;qwen15b-npu6=49;qwen15b-npu7=51
2,244,1.0,128.64810461178422,152.804225217551,159.28873792290688,qwen15b-npu3=50;qwen15b-npu4=51;qwen15b-npu5=48;qwen15b-npu6=47;qwen15b-npu7=48
3,247,1.0,131.58136419951916,152.3547419346869,164.04973017051816,qwen15b-npu3=50;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=50
4,236,1.0,131.2589319422841,154.71647726371884,167.8407839499414,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=49;qwen15b-npu7=45
5,249,1.0,128.95258702337742,148.35501508787274,155.10824974626303,qwen15b-npu3=48;qwen15b-npu4=51;qwen15b-npu5=49;qwen15b-npu6=50;qwen15b-npu7=51
6,237,1.0,131.6040437668562,151.65032679215074,165.14245700091124,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=47;qwen15b-npu7=48
7,246,1.0,130.23100513964891,160.0567428395152,177.4280178360641,qwen15b-npu3=51;qwen15b-npu4=47;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=48
8,245,1.0,130.64108695834875,150.2387379296124,158.71767373755574,qwen15b-npu3=48;qwen15b-npu4=50;qwen15b-npu5=47;qwen15b-npu6=49;qwen15b-npu7=51
9,240,1.0,131.30583195015788,150.73779225349426,155.85369477048516,qwen15b-npu3=50;qwen15b-npu4=47;qwen15b-npu5=50;qwen15b-npu6=47;qwen15b-npu7=46
10,247,1.0,129.3863388709724,148.56713684275746,152.62708300724626,qwen15b-npu3=47;qwen15b-npu4=51;qwen15b-npu5=48;qwen15b-npu6=50;qwen15b-npu7=51
11,250,1.0,129.2914291843772,150.15277778729796,153.77072105184197,qwen15b-npu3=53;qwen15b-npu4=49;qwen15b-npu5=52;qwen15b-npu6=49;qwen15b-npu7=47
12,243,1.0,126.87966227531433,148.5162158496678,157.53002697601914,qwen15b-npu3=47;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=50;qwen15b-npu7=48
