second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
34,246,1.0,127.2674361243844,153.03459716960788,157.10211405530572,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=47;qwen15b-npu7=50
35,248,1.0,129.69795195385814,152.24209101870656,156.472138594836,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=50;qwen15b-npu7=51
36,234,1.0,130.5984570644796,158.38808240368962,165.4378492385149,qwen15b-npu3=44;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=47;qwen15b-npu7=47
37,240,1.0,128.46466433256865,163.90698915347457,309.84700797125697,qwen15b-npu3=51;qwen15b-npu4=47;qwen15b-npu5=47;qwen15b-npu6=49;qwen15b-npu7=46
38,246,1.0,131.12310133874416,153.5280798561871,157.743067946285,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=50
39,245,1.0,129.4660996645689,152.4021029472351,160.96449876204133,qwen15b-npu3=47;qwen15b-npu4=49;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=49
40,242,1.0,130.62696810811758,157.11488295346498,164.92176475003362,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=47;qwen15b-npu7=49
41,241,1.0,134.399542119354,158.1730511970818,167.76088485494256,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=48
42,239,1.0,131.137290969491,157.34299505129457,162.37083915621042,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=47
43,244,1.0,129.89967269822955,164.52108277007937,173.48487209528685,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=49
44,236,1.0,127.81695928424597,160.99415021017194,173.2129598967731,qwen15b-npu3=44;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=47;qwen15b-npu7=49
45,239,1.0,132.74071086198092,167.2098613344133,282.89030911400914,qwen15b-npu3=52;qwen15b-npu4=47;qwen15b-npu5=47;qwen15b-npu6=47;qwen15b-npu7=46
46,245,1.0,130.87682938203216,154.1226338595152,159.31882802397013,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=50
47,238,1.0,135.87837293744087,157.94730000197887,163.6983468197286,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=47;qwen15b-npu7=47
48,242,1.0,132.44244968518615,154.28708493709564,158.63198414444923,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=48
49,245,1.0,131.9769867695868,154.1401739232242,160.6140872463584,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=49
50,242,1.0,132.29879923164845,159.36396876350045,165.9832028672099,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=49
51,236,1.0,135.45945892110467,163.74761844053864,169.60689704865217,qwen15b-npu3=48;qwen15b-npu4=47;qwen15b-npu5=47;qwen15b-npu6=47;qwen15b-npu7=47
52,239,1.0,128.0570300295949,153.58624001964927,200.3232310526073,qwen15b-npu3=43;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=49
53,244,1.0,131.3241720199585,154.64298706501722,286.6257540881634,qwen15b-npu3=53;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=47;qwen15b-npu7=48
54,245,1.0,128.02509078755975,148.90182903036475,152.5720339268446,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=51;qwen15b-npu7=48
55,248,1.0,131.429772824049,152.5416229851544,158.55577308684587,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=49;qwen15b-npu7=50
56,238,1.0,131.120631005615,158.87525491416454,166.43364587798715,qwen15b-npu3=48;qwen15b-npu4=47;qwen15b-npu5=47;qwen15b-npu6=48;qwen15b-npu7=48
57,237,1.0,137.16950127854943,161.09893983229995,166.78790794685483,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=46;qwen15b-npu7=48
58,244,1.0,129.35942877084017,158.82660495117307,165.1656273752451,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=48
59,242,1.0,130.00725395977497,160.35014484077692,167.99973603338003,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=48
60,228,1.0,131.7856959067285,167.17755002900958,192.76826968416572,qwen15b-npu3=41;qwen15b-npu4=46;qwen15b-npu5=48;qwen15b-npu6=46;qwen15b-npu7=47
61,239,1.0,133.91227973625064,173.4808417968452,311.7497214116156,qwen15b-npu3=53;qwen15b-npu4=48;qwen15b-npu5=46;qwen15b-npu6=46;qwen15b-npu7=46
62,245,1.0,128.03224986419082,153.91977177932858,162.96327207237482,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=50;qwen15b-npu7=49
63,248,1.0,126.6028112731874,153.94558338448405,161.21611092239618,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=48;qwen15b-npu7=50
64,248,1.0,128.75018641352654,153.68805127218366,158.35480205714703,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=50
65,245,1.0,127.97012971714139,153.7886722944677,158.4317130036652,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=49
