second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
59,17,1.0,7290.946398861706,7569.803842809051,7569.803842809051,isolated-npu5=7;isolated-npu6=5;isolated-npu7=5
60,18,1.0,7291.939795948565,7569.357220083475,7569.357220083475,isolated-npu5=5;isolated-npu6=6;isolated-npu7=7
61,17,1.0,7302.95248888433,7578.104079235345,7578.104079235345,isolated-npu5=7;isolated-npu6=6;isolated-npu7=4
62,12,1.0,7332.653709221631,7583.888988010585,7583.888988010585,isolated-npu5=3;isolated-npu6=5;isolated-npu7=4
63,11,1.0,7360.320306383073,7582.2922280058265,7582.2922280058265,isolated-npu5=3;isolated-npu6=5;isolated-npu7=3
64,7,1.0,7346.083148848265,7598.216413985938,7598.216413985938,isolated-npu5=2;isolated-npu6=1;isolated-npu7=4
65,12,1.0,7346.342141274363,7626.683745998889,7626.683745998889,isolated-npu5=5;isolated-npu6=4;isolated-npu7=3
66,16,1.0,7370.902636088431,7652.226237114519,7652.226237114519,isolated-npu5=6;isolated-npu6=4;isolated-npu7=6
67,18,1.0,7373.151642270386,7703.264171257615,7703.264171257615,isolated-npu5=7;isolated-npu6=5;isolated-npu7=6
68,16,1.0,7382.0077907294035,7708.940749056637,7708.940749056637,isolated-npu5=4;isolated-npu6=6;isolated-npu7=6
69,13,1.0,7387.719340156764,7753.793710377067,7753.793710377067,isolated-npu5=4;isolated-npu6=5;isolated-npu7=4
70,11,1.0,7377.9792743735015,7752.770702820271,7752.770702820271,isolated-npu5=3;isolated-npu6=4;isolated-npu7=4
71,8,1.0,7385.454313829541,7736.062651034445,7736.062651034445,isolated-npu5=3;isolated-npu6=3;isolated-npu7=2
72,13,1.0,7357.353485189378,7737.641341052949,7737.641341052949,isolated-npu5=6;isolated-npu6=3;isolated-npu7=4
73,16,1.0,7395.601402036846,7730.725705157965,7730.725705157965,isolated-npu5=5;isolated-npu6=5;isolated-npu7=6
74,14,1.0,7393.292797263712,7679.326070006937,7679.326070006937,isolated-npu5=5;isolated-npu6=5;isolated-npu7=4
75,17,1.0,7416.85981489718,7691.437121946365,7691.437121946365,isolated-npu5=5;isolated-npu6=5;isolated-npu7=7
76,16,1.0,7427.278600633144,7717.573412694037,7717.573412694037,isolated-npu5=5;isolated-npu6=7;isolated-npu7=4
77,10,1.0,7382.069717161357,7687.378275208175,7687.378275208175,isolated-npu5=2;isolated-npu6=2;isolated-npu7=6
78,10,1.0,7360.291148070246,7684.593337122351,7684.593337122351,isolated-npu5=3;isolated-npu6=5;isolated-npu7=2
79,10,1.0,6537.785510066897,7702.7355851605535,7702.7355851605535,isolated-npu5=5;isolated-npu6=2;isolated-npu7=3
80,14,1.0,7312.2424101457,7740.5189061537385,7740.5189061537385,isolated-npu5=6;isolated-npu6=3;isolated-npu7=5
81,17,1.0,7329.823694191873,7760.517901740968,7760.517901740968,isolated-npu5=6;isolated-npu6=7;isolated-npu7=4
82,17,1.0,7296.422058716416,7732.423762790859,7732.423762790859,isolated-npu5=6;isolated-npu6=4;isolated-npu7=7
83,16,1.0,7310.333160217851,7718.715923372656,7718.715923372656,isolated-npu5=4;isolated-npu6=7;isolated-npu7=5
84,8,1.0,7317.978941369802,7657.005313318223,7657.005313318223,isolated-npu5=2;isolated-npu6=4;isolated-npu7=2
85,12,1.0,7327.273793052882,7626.677700784057,7626.677700784057,isolated-npu5=4;isolated-npu6=4;isolated-npu7=4
86,11,1.0,7325.409449636936,7613.524693995714,7613.524693995714,isolated-npu5=4;isolated-npu6=3;isolated-npu7=4
87,13,1.0,7358.578600920737,7595.7679259590805,7595.7679259590805,isolated-npu5=4;isolated-npu6=5;isolated-npu7=4
88,16,1.0,7362.9972990602255,7593.844672665,7593.844672665,isolated-npu5=7;isolated-npu6=4;isolated-npu7=5
89,17,1.0,7397.658660076559,7631.727054715157,7631.727054715157,isolated-npu5=5;isolated-npu6=6;isolated-npu7=6
90,13,1.0,7398.921697866172,7648.578037042171,7648.578037042171,isolated-npu5=4;isolated-npu6=6;isolated-npu7=3
91,11,1.0,7398.017372004688,7615.601636935025,7615.601636935025,isolated-npu5=2;isolated-npu6=3;isolated-npu7=6
92,14,1.0,7469.353525899351,7633.06356407702,7633.06356407702,isolated-npu5=4;isolated-npu6=5;isolated-npu7=5
93,9,1.0,6675.522622652352,7645.822858903557,7645.822858903557,isolated-npu5=5;isolated-npu6=2;isolated-npu7=2
94,13,1.0,7511.706996709108,7634.267581161112,7634.267581161112,isolated-npu5=6;isolated-npu6=3;isolated-npu7=4
95,15,1.0,7547.973928041756,7662.592150270939,7662.592150270939,isolated-npu5=5;isolated-npu6=5;isolated-npu7=5
96,13,1.0,7536.712403874844,7672.699226997793,7672.699226997793,isolated-npu5=4;isolated-npu6=4;isolated-npu7=5
97,17,1.0,7545.846045017242,7688.300831243396,7688.300831243396,isolated-npu5=5;isolated-npu6=7;isolated-npu7=5
98,15,1.0,7523.870958015323,7692.070115823299,7692.070115823299,isolated-npu5=4;isolated-npu6=5;isolated-npu7=6
99,9,1.0,7433.067634701729,7678.848227020353,7678.848227020353,isolated-npu5=4;isolated-npu6=3;isolated-npu7=2
100,13,1.0,7422.457044012845,7662.054766900837,7662.054766900837,isolated-npu5=3;isolated-npu6=5;isolated-npu7=5
101,10,1.0,6622.087197843939,7676.438852213323,7676.438852213323,isolated-npu5=6;isolated-npu6=2;isolated-npu7=2
102,17,1.0,7338.636607863009,7683.78945114091,7683.78945114091,isolated-npu5=5;isolated-npu6=5;isolated-npu7=7
103,12,1.0,7338.4755467996,7638.793041929603,7638.793041929603,isolated-npu5=3;isolated-npu6=5;isolated-npu7=4
104,15,1.0,7313.249349128455,7592.132501769811,7592.132501769811,isolated-npu5=4;isolated-npu6=4;isolated-npu7=7
105,19,1.0,7315.371522679925,7563.1031189113855,7563.1031189113855,isolated-npu5=7;isolated-npu6=8;isolated-npu7=4
106,9,1.0,7318.10008129105,7567.87076080218,7567.87076080218,isolated-npu5=4;isolated-npu6=2;isolated-npu7=3
107,12,1.0,7335.187115240842,7596.360390074551,7596.360390074551,isolated-npu5=3;isolated-npu6=5;isolated-npu7=4
