timestamp,backend_id,requests_total,ttft_avg_ms,tpot_avg_ms,queue_time_avg_ms,e2e_latency_avg_ms,router_phase,router_capacity,router_effective_weight,router_desired_weight,router_inflight
2026-06-27T02:34:59.693818,qwen15b-npu3,247569.0,85.00789701826676,28.25524267664003,0.031293447115407894,152.88813054583042,active,10,10,10,0
2026-06-27T02:34:59.709259,qwen15b-npu4,256893.0,75.11465838187004,25.350436495605585,0.022974105283948547,125.78051548426839,active,10,10,10,0
2026-06-27T02:34:59.721408,qwen15b-npu5,3708.0,69.11103265056589,26.278051207499384,0.014112842221017987,1079.1117395269318,active,10,10,10,0
2026-06-27T02:34:59.733840,qwen15b-npu6,135715.0,81.20842504724452,28.644237860509772,0.015663351862661937,166.73713054002764,active,10,10,10,0
2026-06-27T02:34:59.745754,qwen15b-npu7,135819.0,77.2994435378846,27.76151557893315,0.01570669447396444,160.1721133571677,active,10,10,10,0
2026-06-27T02:35:00.771295,qwen15b-npu3,247621.0,85.00567628935798,28.25519247802439,0.03129104458103854,152.88398950294518,active,10,9.932020805060128,9.728083220240514,5
2026-06-27T02:35:00.785841,qwen15b-npu4,256944.0,75.11308568320021,25.35019850617022,0.022973369084410944,125.77857261508684,active,10,9.933905524253293,9.73562209701317,7
2026-06-27T02:35:00.801542,qwen15b-npu5,3759.0,69.09553806145605,26.276845992798428,0.01416923322116618,1066.3257402076945,active,10,9.917261257235673,9.669045028942687,5
2026-06-27T02:35:00.815194,qwen15b-npu6,135769.0,81.20562375601124,28.643745956901864,0.015664475976823078,166.7222796615473,active,10,9.956384517597868,9.825538070391476,5
2026-06-27T02:35:00.827865,qwen15b-npu7,135872.0,77.29811394728415,27.761256625569043,0.015707125501639885,160.15981786288094,active,10,9.963978796773386,9.85591518709354,5
2026-06-27T02:35:01.847345,qwen15b-npu3,247675.0,85.0035467924667,28.255057479478467,0.031287503175420575,152.87887366651452,active,10,9.904645094054521,9.822517961037697,8
2026-06-27T02:35:01.860536,qwen15b-npu4,256998.0,75.11145826868484,25.349916060537204,0.022971376597255923,125.77631823130062,active,10,9.883512344660705,9.732332805882942,6
2026-06-27T02:35:01.874016,qwen15b-npu5,3814.0,69.03219273031603,26.275217746613205,0.014166577398941144,1052.576437104008,active,10,9.864158250066662,9.704849228559631,6
2026-06-27T02:35:01.888429,qwen15b-npu6,135821.0,81.2020857574748,28.64317567944867,0.015663498911612003,166.7063017722633,active,10,9.907437430426866,9.760596168913857,6
2026-06-27T02:35:01.902427,qwen15b-npu7,135927.0,77.29698248141848,27.76101931901182,0.015706738906780322,160.1472924117052,active,10,9.905190738307255,9.72882656290886,6
