second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
67,236,1.0,129.91200294345617,156.03457670658827,199.53491492196918,qwen15b-npu3=42;qwen15b-npu4=48;qwen15b-npu5=50;qwen15b-npu6=48;qwen15b-npu7=48
68,235,1.0,129.31940890848637,250.01446111127734,369.9338180013001,qwen15b-npu3=51;qwen15b-npu4=45;qwen15b-npu5=46;qwen15b-npu6=47;qwen15b-npu7=46
69,246,1.0,129.12517786026,149.20581132173538,156.26117773354053,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=51
70,247,1.0,130.94160007312894,149.72530398517847,155.711623840034,qwen15b-npu3=51;qwen15b-npu4=51;qwen15b-npu5=50;qwen15b-npu6=48;qwen15b-npu7=47
71,239,1.0,131.96817692369223,152.68095396459103,157.60160703212023,qwen15b-npu3=48;qwen15b-npu4=47;qwen15b-npu5=49;qwen15b-npu6=46;qwen15b-npu7=49
72,241,1.0,132.1355472318828,153.23487808927894,159.25344824790955,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=50;qwen15b-npu7=48
73,242,1.0,132.20619782805443,155.11659998446703,165.98133323714137,qwen15b-npu3=49;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=49
74,243,1.0,126.56535068526864,158.9865256100893,178.91274904832244,qwen15b-npu3=47;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=50;qwen15b-npu7=48
75,232,1.0,128.18148080259562,166.9143890030682,182.21236998215318,qwen15b-npu3=41;qwen15b-npu4=49;qwen15b-npu5=47;qwen15b-npu6=47;qwen15b-npu7=48
76,237,1.0,127.9131188057363,279.526486992836,403.1762178055942,qwen15b-npu3=53;qwen15b-npu4=47;qwen15b-npu5=47;qwen15b-npu6=44;qwen15b-npu7=46
77,239,1.0,130.3218360990286,154.3341358192265,161.73224383965135,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=48
78,254,1.0,127.0260433666408,145.74213791638613,152.83853467553854,qwen15b-npu3=52;qwen15b-npu4=51;qwen15b-npu5=51;qwen15b-npu6=51;qwen15b-npu7=49
79,244,1.0,129.42235032096505,158.61772373318672,165.85960192605853,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=50
80,240,1.0,130.9300190769136,158.25184108689427,162.82776230946183,qwen15b-npu3=49;qwen15b-npu4=47;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=48
81,240,1.0,131.08468987047672,155.09511018171906,163.32169389352202,qwen15b-npu3=46;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=48
82,237,1.0,130.92190027236938,153.89796206727624,162.7437206916511,qwen15b-npu3=48;qwen15b-npu4=46;qwen15b-npu5=47;qwen15b-npu6=47;qwen15b-npu7=49
83,240,1.0,131.117750890553,158.96197594702244,179.53234305605292,qwen15b-npu3=44;qwen15b-npu4=51;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=47
84,227,1.0,126.4793099835515,285.86368868127465,401.5398067422211,qwen15b-npu3=48;qwen15b-npu4=43;qwen15b-npu5=47;qwen15b-npu6=44;qwen15b-npu7=45
85,243,1.0,132.98883335664868,154.14894418790936,162.10142569616437,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=46;qwen15b-npu6=49;qwen15b-npu7=50
86,239,1.0,133.54838686063886,155.20081110298634,158.58504408970475,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=50;qwen15b-npu6=47;qwen15b-npu7=46
87,239,1.0,132.2524892166257,158.47161272540689,169.4970359094441,qwen15b-npu3=46;qwen15b-npu4=48;qwen15b-npu5=46;qwen15b-npu6=50;qwen15b-npu7=49
88,249,1.0,131.0047097504139,151.18958381935954,156.87750186771154,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=51;qwen15b-npu6=48;qwen15b-npu7=50
89,246,1.0,128.97748732939363,155.12949135154486,159.34779774397612,qwen15b-npu3=50;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=51;qwen15b-npu7=47
90,2,1.0,121.46026734262705,122.270992025733,122.270992025733,qwen15b-npu4=2
