experiment_id,scheduler,source_file,window,total_requests,total_errors,error_rate_pct,qps,p50_ms,p95_ms,p99_ms,target_backend,target_share_pct,expected_share_pct,absolute_share_error_pct,max_target_running,max_target_waiting,max_target_kv_cache_usage,max_target_remote_utilization,max_target_queue_depth,max_target_router_kv_cache_usage,backend_distribution,main_conclusion,notes
exp2,swrr,exp2-real-hotspot-swrr.csv,all,14179,0,0.0,236.45,133.7,154.65,178.44,qwen15b-npu3,19.96,,,38.0,0.0,0.013385,0.0,0.0,0.0,qwen15b-npu3=2830(19.96%);qwen15b-npu4=2839(20.02%);qwen15b-npu5=2839(20.02%);qwen15b-npu6=2836(20.0%);qwen15b-npu7=2835(19.99%),real hotspot pressure on qwen15b-npu3,background pressure is direct long-prompt load against NPU3
exp2,p2c_smooth_wrr,exp2-real-hotspot-p2c.csv,all,14447,0,0.0,240.81,132.3,148.74,158.73,qwen15b-npu3,0.0,,,32.0,0.0,0.012984,1.0,0.0,0.011556,qwen15b-npu4=3622(25.07%);qwen15b-npu5=3624(25.08%);qwen15b-npu6=3616(25.03%);qwen15b-npu7=3585(24.81%),real hotspot pressure on qwen15b-npu3,background pressure is direct long-prompt load against NPU3
exp2,balanced_p2c,exp2-real-hotspot-balanced.csv,all,14429,0,0.0,240.42,132.5,149.97,157.72,qwen15b-npu3,3.94,,,35.0,0.0,0.013064,1.0,0.0,0.011653,qwen15b-npu3=568(3.94%);qwen15b-npu4=3467(24.03%);qwen15b-npu5=3479(24.11%);qwen15b-npu6=3451(23.92%);qwen15b-npu7=3464(24.01%),real hotspot pressure on qwen15b-npu3,background pressure is direct long-prompt load against NPU3
