second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
45,251,1.0,126.77108170464635,147.61520130559802,158.25927210971713,qwen15b-npu3=5;qwen15b-npu4=63;qwen15b-npu5=61;qwen15b-npu6=59;qwen15b-npu7=63
46,250,1.0,127.32854625210166,150.4416991956532,169.28481496870518,qwen15b-npu3=7;qwen15b-npu4=59;qwen15b-npu5=61;qwen15b-npu6=63;qwen15b-npu7=60
47,238,1.0,131.33178232237697,159.02927704155445,165.30094807967544,qwen15b-npu3=7;qwen15b-npu4=58;qwen15b-npu5=60;qwen15b-npu6=56;qwen15b-npu7=57
48,249,1.0,126.12469820305705,151.6919368878007,155.15821985900402,qwen15b-npu3=7;qwen15b-npu4=61;qwen15b-npu5=60;qwen15b-npu6=61;qwen15b-npu7=60
49,238,1.0,129.1712480597198,155.91375483199954,159.69842113554478,qwen15b-npu3=6;qwen15b-npu4=59;qwen15b-npu5=57;qwen15b-npu6=58;qwen15b-npu7=58
50,249,1.0,126.67445093393326,151.74277825281024,156.83254227042198,qwen15b-npu4=62;qwen15b-npu5=62;qwen15b-npu6=62;qwen15b-npu7=63
51,248,1.0,129.36841882765293,147.20576675608754,155.89311625808477,qwen15b-npu3=4;qwen15b-npu4=60;qwen15b-npu5=61;qwen15b-npu6=62;qwen15b-npu7=61
52,247,1.0,126.22376810759306,146.51218289509416,156.1367167159915,qwen15b-npu3=7;qwen15b-npu4=59;qwen15b-npu5=61;qwen15b-npu6=59;qwen15b-npu7=61
53,247,1.0,127.07983423024416,150.3302175551653,156.26587765291333,qwen15b-npu3=8;qwen15b-npu4=62;qwen15b-npu5=60;qwen15b-npu6=59;qwen15b-npu7=58
54,252,1.0,126.36114982888103,147.3177089355886,154.53815693035722,qwen15b-npu3=14;qwen15b-npu4=59;qwen15b-npu5=59;qwen15b-npu6=61;qwen15b-npu7=59
55,244,1.0,129.66698175296187,151.7937178723514,156.97103319689631,qwen15b-npu3=15;qwen15b-npu4=56;qwen15b-npu5=59;qwen15b-npu6=56;qwen15b-npu7=58
56,243,1.0,127.04442394897342,152.54113310948014,155.42048308998346,qwen15b-npu3=20;qwen15b-npu4=58;qwen15b-npu5=54;qwen15b-npu6=55;qwen15b-npu7=56
57,251,1.0,126.44316023215652,150.3099692054093,163.3023452013731,qwen15b-npu3=23;qwen15b-npu4=55;qwen15b-npu5=60;qwen15b-npu6=57;qwen15b-npu7=56
58,249,1.0,125.37307199090719,151.0746031999588,162.7935110591352,qwen15b-npu3=26;qwen15b-npu4=58;qwen15b-npu5=56;qwen15b-npu6=54;qwen15b-npu7=55
59,242,1.0,130.53604727610946,151.90189890563488,157.31391496956348,qwen15b-npu3=29;qwen15b-npu4=52;qwen15b-npu5=52;qwen15b-npu6=54;qwen15b-npu7=55
60,251,1.0,126.16647779941559,151.08998399227858,159.77325104176998,qwen15b-npu3=33;qwen15b-npu4=56;qwen15b-npu5=54;qwen15b-npu6=58;qwen15b-npu7=50
61,242,1.0,129.62739076465368,147.6951907388866,157.6930182054639,qwen15b-npu3=35;qwen15b-npu4=50;qwen15b-npu5=53;qwen15b-npu6=50;qwen15b-npu7=54
62,254,1.0,124.45836700499058,148.3011250384152,151.98972914367914,qwen15b-npu3=37;qwen15b-npu4=55;qwen15b-npu5=54;qwen15b-npu6=54;qwen15b-npu7=54
63,245,1.0,129.5146900229156,150.41995886713266,156.06974717229605,qwen15b-npu3=44;qwen15b-npu4=50;qwen15b-npu5=51;qwen15b-npu6=49;qwen15b-npu7=51
64,251,1.0,126.13987782970071,147.08246709778905,150.9749018587172,qwen15b-npu3=44;qwen15b-npu4=51;qwen15b-npu5=52;qwen15b-npu6=52;qwen15b-npu7=52
65,249,1.0,128.2846718095243,145.60723677277565,155.6930341757834,qwen15b-npu3=46;qwen15b-npu4=51;qwen15b-npu5=50;qwen15b-npu6=52;qwen15b-npu7=50
66,247,1.0,127.99303000792861,149.74237512797117,151.59375686198473,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=50
67,246,1.0,130.00202411785722,148.5421466641128,154.67415656894445,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=50;qwen15b-npu6=49;qwen15b-npu7=49
68,241,1.0,132.14738806709647,156.94360295310616,165.75489100068808,qwen15b-npu3=48;qwen15b-npu4=46;qwen15b-npu5=49;qwen15b-npu6=50;qwen15b-npu7=48
69,243,1.0,129.06853714957833,153.90271274372935,159.21761794015765,qwen15b-npu3=47;qwen15b-npu4=49;qwen15b-npu5=50;qwen15b-npu6=47;qwen15b-npu7=50
70,247,1.0,130.68296806886792,149.18776089325547,160.07909271866083,qwen15b-npu3=49;qwen15b-npu4=52;qwen15b-npu5=48;qwen15b-npu6=50;qwen15b-npu7=48
71,244,1.0,131.9389557465911,150.19504819065332,159.57827027887106,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=49
72,240,1.0,129.96243312954903,150.1690368168056,157.65635669231415,qwen15b-npu3=49;qwen15b-npu4=46;qwen15b-npu5=49;qwen15b-npu6=47;qwen15b-npu7=49
73,240,1.0,131.35742302984,152.71492395550013,158.59053283929825,qwen15b-npu3=47;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=47
74,246,1.0,128.46031319350004,149.15805123746395,151.41135593876243,qwen15b-npu3=50;qwen15b-npu4=51;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=49
75,247,1.0,132.2212778031826,149.9788169749081,160.90352926403284,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=51;qwen15b-npu6=50;qwen15b-npu7=48
76,247,1.0,130.32720517367125,149.67035502195358,151.7778388224542,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=51
77,244,1.0,128.45384376123548,149.57121340557933,158.71984511613846,qwen15b-npu3=49;qwen15b-npu4=48;qwen15b-npu5=50;qwen15b-npu6=49;qwen15b-npu7=48
78,244,1.0,130.85054932162166,149.1911713965237,155.3221819922328,qwen15b-npu3=47;qwen15b-npu4=49;qwen15b-npu5=47;qwen15b-npu6=50;qwen15b-npu7=51
79,249,1.0,129.76175174117088,149.23221105709672,156.76315082237124,qwen15b-npu3=52;qwen15b-npu4=51;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=48
80,3,1.0,135.64227102324367,139.20530397444963,139.20530397444963,qwen15b-npu3=1;qwen15b-npu6=1;qwen15b-npu7=1
