second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
35,243,1.0,131.35963305830956,150.40821209549904,156.89248498529196,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=47;qwen15b-npu6=49;qwen15b-npu7=49
36,248,1.0,128.90790728852153,148.415956646204,157.1144461631775,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=51;qwen15b-npu6=49;qwen15b-npu7=50
37,244,1.0,129.09574760124087,149.0135518833995,157.97590231522918,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=48
38,247,1.0,128.7461151368916,153.87258399277925,165.44171189889312,qwen15b-npu3=50;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=50
39,250,1.0,128.7101753987372,144.15024872869253,148.95152114331722,qwen15b-npu3=50;qwen15b-npu4=51;qwen15b-npu5=49;qwen15b-npu6=51;qwen15b-npu7=49
40,247,1.0,127.55803670734167,148.73035019263625,153.93943525850773,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=50;qwen15b-npu6=49;qwen15b-npu7=50
41,247,1.0,127.88067990913987,147.10103906691074,151.9827120937407,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=49
42,244,1.0,130.51143661141396,150.82943392917514,158.24698377400637,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=49
43,250,1.0,128.3416929654777,144.39806109294295,154.3107070028782,qwen15b-npu3=49;qwen15b-npu4=51;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=50
44,252,1.0,126.50551088154316,143.47478514537215,149.28464405238628,qwen15b-npu3=51;qwen15b-npu4=51;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=50
45,253,1.0,126.33028905838728,143.74598627910018,151.81479090824723,qwen15b-npu3=51;qwen15b-npu4=50;qwen15b-npu5=51;qwen15b-npu6=51;qwen15b-npu7=50
46,246,1.0,130.77687891200185,146.92190801724792,151.09003614634275,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=51
47,249,1.0,125.91399578377604,144.36587085947394,151.4697279781103,qwen15b-npu3=49;qwen15b-npu4=51;qwen15b-npu5=50;qwen15b-npu6=51;qwen15b-npu7=48
48,244,1.0,130.70465810596943,152.3905349895358,162.53416193649173,qwen15b-npu3=49;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=49
