second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
30,239,1.0,133.70220700016944,150.05442099936772,154.26707100050407,qwen15b-npu3=7;qwen15b-npu4=60;qwen15b-npu5=61;qwen15b-npu6=55;qwen15b-npu7=56
31,245,1.0,129.83070900008897,147.7809520001756,154.41771100086044,qwen15b-npu3=5;qwen15b-npu4=61;qwen15b-npu5=59;qwen15b-npu6=57;qwen15b-npu7=63
32,234,1.0,134.94533300035982,156.49624100115034,161.76544500012824,qwen15b-npu3=14;qwen15b-npu4=52;qwen15b-npu5=62;qwen15b-npu6=54;qwen15b-npu7=52
33,233,1.0,132.2348809990217,156.6883819996292,161.5169729993795,qwen15b-npu3=5;qwen15b-npu4=60;qwen15b-npu5=54;qwen15b-npu6=57;qwen15b-npu7=57
34,236,1.0,134.94823300061398,154.67194299890252,158.54369000044244,qwen15b-npu3=7;qwen15b-npu4=57;qwen15b-npu5=57;qwen15b-npu6=57;qwen15b-npu7=58
35,239,1.0,134.650560999944,155.6887269998697,166.50150599889457,qwen15b-npu3=10;qwen15b-npu4=57;qwen15b-npu5=60;qwen15b-npu6=56;qwen15b-npu7=56
36,236,1.0,133.35426499907044,152.9938650000986,160.29210799933935,qwen15b-npu3=12;qwen15b-npu4=53;qwen15b-npu5=58;qwen15b-npu6=55;qwen15b-npu7=58
37,243,1.0,130.80799400086107,143.65156200074125,147.96220199968957,qwen15b-npu3=13;qwen15b-npu4=59;qwen15b-npu5=55;qwen15b-npu6=57;qwen15b-npu7=59
38,238,1.0,133.09539399961068,156.95649299959769,162.48961800010875,qwen15b-npu3=7;qwen15b-npu4=58;qwen15b-npu5=62;qwen15b-npu6=56;qwen15b-npu7=55
39,240,1.0,130.19233200066083,144.90720799949486,153.4054970015859,qwen15b-npu3=7;qwen15b-npu4=57;qwen15b-npu5=59;qwen15b-npu6=58;qwen15b-npu7=59
40,244,1.0,131.78831900040677,151.88634100013587,250.48453799900017,qwen15b-npu3=15;qwen15b-npu4=58;qwen15b-npu5=56;qwen15b-npu6=56;qwen15b-npu7=59
41,241,1.0,130.20472200150834,143.67379200120922,151.06851600103255,qwen15b-npu3=7;qwen15b-npu4=57;qwen15b-npu5=58;qwen15b-npu6=60;qwen15b-npu7=59
42,242,1.0,133.7217079999391,146.8073270007153,157.68131600088964,qwen15b-npu3=10;qwen15b-npu4=58;qwen15b-npu5=62;qwen15b-npu6=56;qwen15b-npu7=56
43,242,1.0,131.8660489996546,147.9724119999446,152.5925139994797,qwen15b-npu3=9;qwen15b-npu4=57;qwen15b-npu5=57;qwen15b-npu6=60;qwen15b-npu7=59
44,247,1.0,130.36928200017428,146.0162940002192,150.74583499881555,qwen15b-npu3=8;qwen15b-npu4=63;qwen15b-npu5=59;qwen15b-npu6=59;qwen15b-npu7=58
45,238,1.0,130.6180729989137,147.45600999958697,152.41503300057957,qwen15b-npu3=9;qwen15b-npu4=57;qwen15b-npu5=56;qwen15b-npu6=56;qwen15b-npu7=60
46,245,1.0,131.22639599896502,147.04442800029938,150.0928120003664,qwen15b-npu3=13;qwen15b-npu4=57;qwen15b-npu5=59;qwen15b-npu6=59;qwen15b-npu7=57
47,239,1.0,131.60125799913658,147.08012799928838,155.52941700116207,qwen15b-npu3=10;qwen15b-npu4=58;qwen15b-npu5=58;qwen15b-npu6=55;qwen15b-npu7=58
48,243,1.0,134.60141199902864,151.43947799879243,155.939178999688,qwen15b-npu3=7;qwen15b-npu4=58;qwen15b-npu5=59;qwen15b-npu6=60;qwen15b-npu7=59
49,233,1.0,134.2588400002569,152.56189300089318,157.3396949988819,qwen15b-npu3=11;qwen15b-npu4=57;qwen15b-npu5=51;qwen15b-npu6=57;qwen15b-npu7=57
50,242,1.0,133.6242070010485,156.5835719993629,169.94487200099684,qwen15b-npu3=9;qwen15b-npu4=56;qwen15b-npu5=63;qwen15b-npu6=56;qwen15b-npu7=58
51,239,1.0,134.26546000118833,145.8134330005123,148.92425700054446,qwen15b-npu3=6;qwen15b-npu4=58;qwen15b-npu5=57;qwen15b-npu6=59;qwen15b-npu7=59
52,241,1.0,131.97390899949824,148.8670260005165,155.5308970000624,qwen15b-npu3=11;qwen15b-npu4=59;qwen15b-npu5=59;qwen15b-npu6=59;qwen15b-npu7=53
53,239,1.0,133.55343700095546,150.96169500066026,164.11026599962497,qwen15b-npu3=14;qwen15b-npu4=58;qwen15b-npu5=54;qwen15b-npu6=56;qwen15b-npu7=57
54,241,1.0,134.86768300026597,150.25857299951895,155.12547499929497,qwen15b-npu3=7;qwen15b-npu4=58;qwen15b-npu5=58;qwen15b-npu6=59;qwen15b-npu7=59
55,236,1.0,132.14586000140116,150.51200399830122,159.22714299995278,qwen15b-npu3=8;qwen15b-npu4=58;qwen15b-npu5=57;qwen15b-npu6=58;qwen15b-npu7=55
56,240,1.0,133.34437600133242,147.8576420013269,153.51847700003418,qwen15b-npu3=8;qwen15b-npu4=59;qwen15b-npu5=58;qwen15b-npu6=57;qwen15b-npu7=58
57,237,1.0,134.6150419994956,147.21869899949525,156.24351000042225,qwen15b-npu3=7;qwen15b-npu4=58;qwen15b-npu5=59;qwen15b-npu6=54;qwen15b-npu7=59
58,241,1.0,131.78243800030032,148.08464299858315,152.2488210011943,qwen15b-npu3=9;qwen15b-npu4=57;qwen15b-npu5=57;qwen15b-npu6=62;qwen15b-npu7=56
59,246,1.0,130.26992199957022,146.6011359989352,151.80854900063423,qwen15b-npu3=10;qwen15b-npu4=57;qwen15b-npu5=60;qwen15b-npu6=59;qwen15b-npu7=60
60,3,1.0,135.61104600012186,148.68654499878176,148.68654499878176,qwen15b-npu5=1;qwen15b-npu6=1;qwen15b-npu7=1
