second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
68,240,1.0,134.87591594457626,150.7756640203297,155.13450279831886,qwen15b-npu3=59;qwen15b-npu4=60;qwen15b-npu6=60;qwen15b-npu7=61
69,246,1.0,132.09767825901508,153.92722515389323,162.22375025972724,qwen15b-npu3=62;qwen15b-npu4=63;qwen15b-npu6=60;qwen15b-npu7=61
70,237,1.0,133.12169490382075,151.48652903735638,172.02343605458736,qwen15b-npu3=58;qwen15b-npu4=59;qwen15b-npu6=63;qwen15b-npu7=57
71,245,1.0,131.76892511546612,149.6686558239162,153.98541511967778,qwen15b-npu3=61;qwen15b-npu4=61;qwen15b-npu6=60;qwen15b-npu7=63
72,239,1.0,133.13583470880985,150.05983924493194,154.50244909152389,qwen15b-npu3=61;qwen15b-npu4=60;qwen15b-npu6=57;qwen15b-npu7=61
73,244,1.0,132.96285411342978,150.18748911097646,159.45493197068572,qwen15b-npu3=60;qwen15b-npu4=63;qwen15b-npu6=64;qwen15b-npu7=57
74,247,1.0,130.24812564253807,145.76369989663363,147.9584351181984,qwen15b-npu3=62;qwen15b-npu4=60;qwen15b-npu6=60;qwen15b-npu7=65
75,243,1.0,133.91572097316384,144.53247236087918,149.30125372484326,qwen15b-npu3=60;qwen15b-npu4=62;qwen15b-npu6=60;qwen15b-npu7=61
76,246,1.0,132.9746339470148,150.26830974966288,160.28019692748785,qwen15b-npu3=61;qwen15b-npu4=62;qwen15b-npu6=62;qwen15b-npu7=61
77,234,1.0,133.60059913247824,157.15758735314012,211.260000243783,qwen15b-npu3=59;qwen15b-npu4=58;qwen15b-npu6=58;qwen15b-npu7=59
78,248,1.0,131.1462721787393,155.59219615533948,163.3747681044042,qwen15b-npu3=62;qwen15b-npu4=63;qwen15b-npu6=62;qwen15b-npu7=61
79,244,1.0,132.78123317286372,151.55703900381923,156.42470167949796,qwen15b-npu3=60;qwen15b-npu4=62;qwen15b-npu6=61;qwen15b-npu7=61
80,232,1.0,136.5781482309103,167.04563284292817,180.01224985346198,qwen15b-npu3=59;qwen15b-npu4=56;qwen15b-npu6=58;qwen15b-npu7=59
81,241,1.0,133.80576018244028,151.58671885728836,159.6119529567659,qwen15b-npu3=59;qwen15b-npu4=62;qwen15b-npu6=61;qwen15b-npu7=59
82,246,1.0,132.92413437739015,146.57109510153532,153.1328703276813,qwen15b-npu3=61;qwen15b-npu4=62;qwen15b-npu6=59;qwen15b-npu7=64
83,241,1.0,134.79431625455618,150.20356979221106,154.63543916121125,qwen15b-npu3=61;qwen15b-npu4=59;qwen15b-npu6=62;qwen15b-npu7=59
84,241,1.0,133.66872910410166,149.4723348878324,154.06754612922668,qwen15b-npu3=61;qwen15b-npu4=60;qwen15b-npu6=60;qwen15b-npu7=60
85,240,1.0,132.50344106927514,152.5522149167955,156.94872476160526,qwen15b-npu3=60;qwen15b-npu4=63;qwen15b-npu6=58;qwen15b-npu7=59
86,238,1.0,134.6921445801854,153.04986899718642,160.30109766870737,qwen15b-npu3=59;qwen15b-npu4=58;qwen15b-npu6=60;qwen15b-npu7=61
87,244,1.0,132.99880409613252,153.27685000374913,155.5259353481233,qwen15b-npu3=61;qwen15b-npu4=60;qwen15b-npu6=61;qwen15b-npu7=62
88,236,1.0,134.312623180449,151.57603891566396,155.10559314861894,qwen15b-npu3=60;qwen15b-npu4=62;qwen15b-npu6=56;qwen15b-npu7=58
89,248,1.0,133.0515737645328,146.29349391907454,150.07127914577723,qwen15b-npu3=60;qwen15b-npu4=60;qwen15b-npu6=66;qwen15b-npu7=62
90,236,1.0,132.96744413673878,152.33855415135622,158.45120511949062,qwen15b-npu3=60;qwen15b-npu4=58;qwen15b-npu6=59;qwen15b-npu7=59
91,245,1.0,134.42715303972363,146.37023443356156,150.5920821800828,qwen15b-npu3=60;qwen15b-npu4=63;qwen15b-npu6=61;qwen15b-npu7=61
92,238,1.0,134.73080564290285,153.82599411532283,158.5533358156681,qwen15b-npu3=60;qwen15b-npu4=60;qwen15b-npu6=57;qwen15b-npu7=61
93,246,1.0,133.42430721968412,152.4410550482571,158.00292184576392,qwen15b-npu3=62;qwen15b-npu4=62;qwen15b-npu6=62;qwen15b-npu7=60
94,243,1.0,130.87172992527485,144.4993708282709,148.11224630102515,qwen15b-npu3=60;qwen15b-npu4=60;qwen15b-npu6=62;qwen15b-npu7=61
95,237,1.0,134.9494270980358,149.7118161059916,156.55572200194,qwen15b-npu3=58;qwen15b-npu4=59;qwen15b-npu6=60;qwen15b-npu7=60
96,244,1.0,131.1938720755279,145.06901614367962,155.47456499189138,qwen15b-npu3=63;qwen15b-npu4=62;qwen15b-npu6=60;qwen15b-npu7=59
97,249,1.0,132.85890268161893,149.83181655406952,153.71754299849272,qwen15b-npu3=63;qwen15b-npu4=61;qwen15b-npu6=63;qwen15b-npu7=62
