experiment_id,scheduler,source_file,window,total_requests,total_errors,error_rate_pct,qps,p50_ms,p95_ms,p99_ms,target_backend,target_share_pct,expected_share_pct,absolute_share_error_pct,max_target_running,max_target_waiting,max_target_kv_cache_usage,max_target_remote_utilization,max_target_queue_depth,max_target_router_kv_cache_usage,backend_distribution,main_conclusion,notes
exp3,p2c_smooth_wrr,exp3-dynamic-capacity/exp3-real-capacity-p2c.csv,transition_up_80_100,4973,0,0.0,248.65,127.97,145.46,154.23,qwen15b-npu3,10.22,,,,,,,,,qwen15b-npu3=508(10.22%);qwen15b-npu4=1119(22.5%);qwen15b-npu5=1117(22.46%);qwen15b-npu6=1114(22.4%);qwen15b-npu7=1115(22.42%),capacity 10->1->10 平滑迁移,目标后端 qwen15b-npu3
exp3,p2c_smooth_wrr,exp3-dynamic-capacity/exp3-real-capacity-p2c.csv,stable_up_100_120,4956,0,0.0,247.8,128.41,147.67,153.75,qwen15b-npu3,19.83,20.0,0.17,,,,,,,qwen15b-npu3=983(19.83%);qwen15b-npu4=995(20.08%);qwen15b-npu5=996(20.1%);qwen15b-npu6=988(19.94%);qwen15b-npu7=994(20.06%),capacity 10->1->10 平滑迁移,目标后端 qwen15b-npu3
exp3,p2c_smooth_wrr,exp3-dynamic-capacity/exp3-real-capacity-p2c.csv,all,29748,0,0.0,247.87,128.19,147.96,155.51,qwen15b-npu3,11.26,,,,,,,,,qwen15b-npu3=3351(11.26%);qwen15b-npu4=6612(22.23%);qwen15b-npu5=6607(22.21%);qwen15b-npu6=6584(22.13%);qwen15b-npu7=6594(22.17%),capacity 10->1->10 平滑迁移,目标后端 qwen15b-npu3
exp4,p2c_smooth_wrr,exp4-failure-recovery/exp4-real-failure-p2c.csv,pre_fail_0_30,7392,1,0.0135,246.4,129.52,148.34,157.12,qwen15b-npu5,20.06,20.0,0.06,,,,,,,qwen15b-npu3=1478(19.99%);qwen15b-npu4=1481(20.04%);qwen15b-npu5=1483(20.06%);qwen15b-npu6=1474(19.94%);qwen15b-npu7=1476(19.97%),NPU5 容器 stop/start 故障恢复,只停止 yijq27-vllm-qwen15b-5 容器
exp4,p2c_smooth_wrr,exp4-failure-recovery/exp4-real-failure-p2c.csv,fail_detect_30_35,1125,0,0.0,225.0,134.23,151.13,158.19,qwen15b-npu5,0.0,0.0,0.0,,,,,,,qwen15b-npu3=280(24.89%);qwen15b-npu4=283(25.16%);qwen15b-npu6=280(24.89%);qwen15b-npu7=282(25.07%),NPU5 容器 stop/start 故障恢复,只停止 yijq27-vllm-qwen15b-5 容器
exp4,p2c_smooth_wrr,exp4-failure-recovery/exp4-real-failure-p2c.csv,fail_stable_35_90,13213,2,0.0151,240.24,133.69,150.69,159.03,qwen15b-npu5,0.02,0.0,0.02,,,,,,,qwen15b-npu3=3296(24.95%);qwen15b-npu4=3314(25.08%);qwen15b-npu5=2(0.02%);qwen15b-npu6=3301(24.98%);qwen15b-npu7=3300(24.98%),NPU5 容器 stop/start 故障恢复,只停止 yijq27-vllm-qwen15b-5 容器
exp4,p2c_smooth_wrr,exp4-failure-recovery/exp4-real-failure-p2c.csv,recovery_wait_90_240,36219,0,0.0,241.46,133.53,151.07,158.83,qwen15b-npu5,0.65,0.0,0.65,,,,,,,qwen15b-npu3=8991(24.82%);qwen15b-npu4=9021(24.91%);qwen15b-npu5=235(0.65%);qwen15b-npu6=8982(24.8%);qwen15b-npu7=8990(24.82%),NPU5 容器 stop/start 故障恢复,只停止 yijq27-vllm-qwen15b-5 容器
exp4,p2c_smooth_wrr,exp4-failure-recovery/exp4-real-failure-p2c.csv,recovery_end_240_300,14840,0,0.0,247.33,128.61,148.42,157.43,qwen15b-npu5,19.8,20.0,0.2,,,,,,,qwen15b-npu3=2976(20.05%);qwen15b-npu4=2984(20.11%);qwen15b-npu5=2938(19.8%);qwen15b-npu6=2969(20.01%);qwen15b-npu7=2973(20.03%),NPU5 容器 stop/start 故障恢复,只停止 yijq27-vllm-qwen15b-5 容器
exp4,p2c_smooth_wrr,exp4-failure-recovery/exp4-real-failure-p2c.csv,all,72794,3,0.0041,242.64,132.17,150.4,158.54,qwen15b-npu5,6.4,,,,,,,,,qwen15b-npu3=17023(23.39%);qwen15b-npu4=17084(23.47%);qwen15b-npu5=4659(6.4%);qwen15b-npu6=17006(23.36%);qwen15b-npu7=17022(23.38%),NPU5 容器 stop/start 故障恢复,只停止 yijq27-vllm-qwen15b-5 容器
exp5,p2c_smooth_wrr,exp5-pool-isolation/exp5-real-default.csv,all,28218,0,0.0,235.14,134.02,162.67,192.95,,,,,,,,,,,default-npu3=14060(49.83%);default-npu4=14158(50.17%),isolated 池承压时 default 池保持隔离,default 池使用 NPU3/4
