experiment_id,scheduler,source_file,window,total_requests,total_errors,error_rate_pct,qps,p50_ms,p95_ms,p99_ms,target_backend,target_share_pct,expected_share_pct,absolute_share_error_pct,max_target_running,max_target_waiting,max_target_kv_cache_usage,max_target_remote_utilization,max_target_queue_depth,max_target_router_kv_cache_usage,backend_distribution,main_conclusion,notes
exp8,swrr,exp8-qwen7b-hotspot-swrr.csv,all,8532,0,0.0,77.51,102.46,136.74,279.1,qwen7b-npu3,19.81,,,15.0,0.0,0.011802,0.0,0.0,0.0,qwen7b-npu3=1690(19.81%);qwen7b-npu4=1711(20.05%);qwen7b-npu5=1711(20.05%);qwen7b-npu6=1710(20.04%);qwen7b-npu7=1710(20.04%),Qwen2.5-7B 真实热点压力,背景压力是直接打到 Qwen2.5-7B NPU3 的长 prompt 请求
exp8,p2c_smooth_wrr,exp8-qwen7b-hotspot-p2c.csv,all,11100,0,0.0,92.51,130.15,187.76,222.68,qwen7b-npu3,0.0,,,12.0,0.0,0.011433,1.0,0.0,0.010201,qwen7b-npu4=2790(25.14%);qwen7b-npu5=2783(25.07%);qwen7b-npu6=2778(25.03%);qwen7b-npu7=2749(24.77%),Qwen2.5-7B 真实热点压力,背景压力是直接打到 Qwen2.5-7B NPU3 的长 prompt 请求
exp8,balanced_p2c,exp8-qwen7b-hotspot-balanced.csv,all,11415,0,0.0,95.13,125.94,182.55,214.18,qwen7b-npu3,3.64,,,15.0,0.0,0.011617,1.0,0.0,0.010245,qwen7b-npu3=415(3.64%);qwen7b-npu4=2759(24.17%);qwen7b-npu5=2755(24.13%);qwen7b-npu6=2752(24.11%);qwen7b-npu7=2734(23.95%),Qwen2.5-7B 真实热点压力,背景压力是直接打到 Qwen2.5-7B NPU3 的长 prompt 请求
